Experiment,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Training Time Seconds
Autoencoder (unsupervised),0.7619780884105828,0.9211583128920919,0.7111554285618522,0.802648067147417,0.832423185975482,18.959821701049805
Best supervised DNN (E3_Width_256-128),0.8953810004505507,0.9871316259103844,0.8574672576901484,0.9177421235303086,0.9841977151009051,14.688453912734984
