Epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
1,0.8629165887832642,0.9483545422554016,0.28562167286872864,0.8988168239593506,0.846298098564148,0.9055079817771912,0.9778081178665161,0.20183366537094116,0.9668116569519043,0.857836127281189
2,0.9228118062019348,0.9816702008247375,0.17575880885124207,0.9362809658050537,0.9225975275039673,0.9204469323158264,0.9838279485702515,0.17681527137756348,0.9755977988243103,0.8774677515029907
3,0.9374933838844299,0.9859732389450073,0.15234863758087158,0.9471458792686462,0.9388666749000549,0.9345357418060303,0.9862695932388306,0.16244028508663177,0.9734503030776978,0.9058122634887695
4,0.9432627558708191,0.987734317779541,0.1410258561372757,0.9516021609306335,0.9450158476829529,0.9426124691963196,0.9877291917800903,0.15188683569431305,0.9729792475700378,0.9213631749153137
5,0.9470128417015076,0.9887297749519348,0.13354024291038513,0.9548166990280151,0.9486557245254517,0.9475314021110535,0.9883905649185181,0.14484910666942596,0.9738879203796387,0.9296349287033081
6,0.9494268298149109,0.9893699884414673,0.12852692604064941,0.957365870475769,0.9504756927490234,0.9502641558647156,0.9889874458312988,0.13921727240085602,0.9747869968414307,0.9338259696960449
7,0.9511424899101257,0.9898315668106079,0.12462878227233887,0.9587949514389038,0.9521852731704712,0.9526325464248657,0.9893990159034729,0.13375650346279144,0.97359699010849,0.939450740814209
8,0.9520686268806458,0.9902485013008118,0.12145409733057022,0.9598588943481445,0.9527919292449951,0.9536041617393494,0.9898571372032166,0.12927450239658356,0.9717077612876892,0.9432005882263184
9,0.9533439874649048,0.9906169772148132,0.11875978857278824,0.9610768556594849,0.9538949131965637,0.9548187255859375,0.9902687072753906,0.12452807277441025,0.9700666666030884,0.9471710324287415
10,0.9544522762298584,0.9909145832061768,0.11654525250196457,0.962360680103302,0.9546118974685669,0.9546972513198853,0.9905450344085693,0.12134919315576553,0.9691058993339539,0.9479430913925171
11,0.954983651638031,0.9911923408508301,0.11452160775661469,0.9632720947265625,0.9546394348144531,0.9554259777069092,0.9908667206764221,0.11838314682245255,0.9677781462669373,0.9507003426551819
12,0.9558794498443604,0.9914042353630066,0.1129310205578804,0.9644677042961121,0.9550530910491943,0.9557903409004211,0.9912557601928711,0.11638344079256058,0.96706622838974,0.9521341323852539
13,0.95625901222229,0.9916262626647949,0.1116047278046608,0.9648287296295166,0.9553839564323425,0.9556689262390137,0.9913573861122131,0.11468758434057236,0.9659103751182556,0.9531267285346985
14,0.95625901222229,0.991815447807312,0.11033245921134949,0.9648805260658264,0.9553288221359253,0.9557296633720398,0.9916818737983704,0.11282506585121155,0.9658100605010986,0.9533473253250122
15,0.9568511247634888,0.9920104146003723,0.10909079760313034,0.9653847217559814,0.9559078812599182,0.9567012786865234,0.9919685125350952,0.11088364571332932,0.9655595421791077,0.9554427862167358
16,0.9566537737846375,0.9921302199363708,0.10844690352678299,0.9652166366577148,0.9557148814201355,0.9567012786865234,0.9920947551727295,0.11002445220947266,0.9659749865531921,0.9550016522407532
17,0.9574280977249146,0.9923009276390076,0.10738686472177505,0.9657322764396667,0.9566248655319214,0.9569441676139832,0.9922623634338379,0.10909906774759293,0.9647464156150818,0.9567663073539734
18,0.9576254487037659,0.9924158453941345,0.10666275024414062,0.966029942035675,0.9566799998283386,0.9570049047470093,0.9923734068870544,0.10817261785268784,0.9651641845703125,0.9564354419708252
19,0.9578227996826172,0.9925240874290466,0.10596653074026108,0.966457724571228,0.9565972685813904,0.9574300050735474,0.9924233555793762,0.10715888440608978,0.9650878310203552,0.9573177695274353
20,0.9577924609184265,0.9926236271858215,0.10538658499717712,0.9662999510765076,0.9567075967788696,0.9581587314605713,0.9925826191902161,0.10598163306713104,0.9655479192733765,0.9582000374794006
21,0.958399772644043,0.9927064180374146,0.10478508472442627,0.9670391082763672,0.9570660591125488,0.9582802057266235,0.9926357865333557,0.10558227449655533,0.9651420712471008,0.9588618278503418
22,0.9585515856742859,0.9927622079849243,0.10439923405647278,0.967256486415863,0.9571211934089661,0.9585230946540833,0.9926489591598511,0.10554490238428116,0.9645389914512634,0.9599646925926208
23,0.9588096737861633,0.9928364753723145,0.10378067195415497,0.9674803614616394,0.9573693871498108,0.9587660431861877,0.9927440881729126,0.10479718446731567,0.9647606611251831,0.9601852893829346
24,0.9589159488677979,0.9929260611534119,0.10329395532608032,0.9675648808479309,0.9574796557426453,0.9588267207145691,0.9927104115486145,0.10466460138559341,0.9643529057502747,0.9607367515563965
25,0.959189236164093,0.9929943084716797,0.10270247608423233,0.9678417444229126,0.957700252532959,0.9588267207145691,0.9927976131439209,0.10392474383115768,0.9645586609840393,0.9605161547660828
26,0.9593107104301453,0.9931030869483948,0.10203417390584946,0.9680836200714111,0.9576727151870728,0.9589481949806213,0.9928385019302368,0.10341600328683853,0.9647723436355591,0.9605161547660828
27,0.9592955112457275,0.9931324124336243,0.10179052501916885,0.9681610465049744,0.9575623869895935,0.9594947695732117,0.9928844571113586,0.1033715158700943,0.9644989967346191,0.9618396162986755
28,0.959690272808075,0.9932258129119873,0.10112141072750092,0.9684973359107971,0.9579484462738037,0.9590089321136475,0.9929246306419373,0.10273300856351852,0.9647762775421143,0.9606264233589172
29,0.9600090980529785,0.9932971000671387,0.10069013386964798,0.9688554406166077,0.9581690430641174,0.959555447101593,0.9929174780845642,0.1029943898320198,0.9649142026901245,0.9615087509155273
30,0.9599938988685608,0.9933607578277588,0.10012506693601608,0.96875,0.9582517743110657,0.9596161842346191,0.9930074214935303,0.10225936770439148,0.965021014213562,0.9615087509155273
