Experiment,Encoding Dimension,Threshold Percentile,Threshold Value,Epochs Completed,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Training Time Seconds
AE3_Threshold_90pct,47,90,0.00546401,50,0.7688390051385586,0.9466566917173915,0.6998014094066582,0.8047234079455777,0.817208410742566,9.991600275039673
AE4_Final_Optimized,23,90,0.00044037704,100,0.7619780884105828,0.9211583128920919,0.7111554285618522,0.802648067147417,0.832423185975482,18.959821701049805
AE2_Bottleneck_23,23,95,0.0055737365,50,0.7675158690779681,0.9578598981458821,0.6887239087991553,0.8012966122349501,0.8301521541812358,10.104828834533691
AE1_Baseline,47,95,0.00583149,50,0.7503208034629665,0.9685376258742994,0.6544188501856026,0.7810798241797807,0.817208410742566,11.258920907974243
AE2_Bottleneck_95,95,95,0.008005307,50,0.6138552876965456,0.9275611937332318,0.46931063088125624,0.6232702547809685,0.7519734735966683,10.249205827713013
AE3_Threshold_99pct,47,99,0.00819428,50,0.5875807711830091,0.9851645517383679,0.40008044175932833,0.5690618929001346,0.817208410742566,9.880416870117188
