,precision,recall,f1-score,support
Normal,0.7572753615151053,0.9753571428571428,0.8525915693023328,56000.0
Attack,0.9866297207743135,0.8533027207749223,0.9151355844622677,119341.0
accuracy,0.8922841776880479,0.8922841776880479,0.8922841776880479,0.8922841776880479
macro avg,0.8719525411447094,0.9143299318160325,0.8838635768823002,175341.0
weighted avg,0.9133790599561612,0.8922841776880479,0.8951604226406952,175341.0
